Employee_ID,Name,Age,Department,Position,Salary,Hire_Date
E0001,Henry Hernandez,36,Finance,Chief Financial Officer (CFO),99324.11,2021-12-06
E0002,Alexander Miller,60,Human Resources,Human Resources Specialist,78170.68,2021-03-31
E0003,Meagan Ortiz,54,Information Technology (IT),Information Technology Manager,97190.87,2023-01-13
E0005,Corey Jackson,39,Marketing,SEO Specialist,57595.13,2023-01-29
E0006,Charles Lopez,35,Legal,Corporate Lawyer,127988.14,2020-02-17
E0007,Joshua Williams,34,Marketing,Content Creator,96021.19,2015-12-21
E0008,Samuel Thornton,51,Marketing,Content Creator,108852.17,2023-05-26
E0009,Erik Scott,55,Operations,Operations Manager,132033.89,2015-09-13
E0010,Brianna Underwood,22,Legal,Paralegal,72656.75,2021-06-05
E0011,Melanie Olson,39,Marketing,SEO Specialist,148255.54,2016-04-25
E0012,Meredith Reynolds,45,Product Development,R&D Specialist,77460.54,2020-05-27
E0013,Holly Taylor,31,Finance,Financial Analyst,79948.04,2021-08-17
E0014,Christine Jackson,58,Sales,Sales Manager,103719.09,2015-12-06
E0015,Michael Davis,30,Human Resources,Human Resources Manager,94263.92,2023-11-09
E0016,Joanna Acosta,52,Product Development,Product Manager,96789.39,2017-06-20
E0017,Brandon King,46,Operations,Operations Manager,146623.73,2015-12-15
E0018,John Anderson,55,Marketing,Content Creator,86284.2,2020-11-29
E0019,Jessica Garcia,55,Sales,Sales Manager,114054.47,2020-12-19
E0020,Frank Hall,24,Marketing,SEO Specialist,114812.16,2022-03-30
E0021,Thomas Cohen,35,Sales,Sales Representative,109536.35,2021-02-12
E0022,Anthony Pena,44,Legal,Paralegal,52479.4,2024-04-03
E0023,Sean Meyers,33,Finance,Chief Financial Officer (CFO),55637.89,2021-04-11
E0024,Darren King,33,Marketing,Content Creator,149540.78,2020-01-01
E0025,Haley Perez,30,Finance,Accountant,122812.08,2019-11-03
E0026,Mitchell Cooper,53,Operations,Quality Assurance Specialist,51030.06,2020-02-10
E0027,Patrick Ross,24,Sales,Account Manager,67845.03,2021-09-04
E0028,Cassidy Smith,53,Marketing,Content Creator,68931.19,2016-03-01
E0029,Ryan Kennedy,53,Legal,Corporate Lawyer,63644.11,2020-03-08
E0030,Ashley Pope,38,Marketing,Marketing Manager,92814.34,2024-05-27
E0031,Deanna Frey,42,Human Resources,Human Resources Specialist,136690.29,2014-11-16
E0032,Charles Hall,31,Finance,Financial Analyst,89110.67,2015-09-04
E0033,Vanessa Williams,50,Human Resources,Human Resources Manager,144192.43,2024-07-13
E0034,Christina Barton DDS,55,Customer Service,Customer Service Manager,116129.89,2016-09-13
E0035,Virginia Lynch,39,Operations,Quality Assurance Specialist,93487.23,2023-05-18
E0036,Jamie Burke,26,Operations,Logistics Coordinator,113857.64,2019-09-25
E0037,Timothy Holmes,26,Sales,Sales Representative,63377.09,2018-03-23
E0038,Shawn Benson,33,Finance,Financial Analyst,74614.95,2016-06-25
E0039,Michael Oliver,38,Product Development,Product Designer,64856.23,2021-06-13
E0040,Becky Wilson,29,Sales,Sales Manager,54611.73,2020-09-12
E0041,Tina Webster,45,Customer Service,Technical Support Specialist,99107.27,2018-01-16
E0042,Beverly Jones,50,Product Development,R&D Specialist,148430.22,2019-11-08
E0043,Virginia Wilson,29,Operations,Logistics Coordinator,117764.3,2020-06-04
E0044,Joseph Rodriguez,59,Human Resources,Human Resources Manager,101859.82,2017-06-18
E0045,Tina Pacheco,60,Product Development,Product Manager,136888.17,2017-07-11
E0046,Elizabeth Villa,58,Information Technology (IT),Information Technology Manager,125605.27,2023-03-25
E0047,Eric Weiss,30,Finance,Accountant,79360.98,2023-11-08
E0048,Michael Maldonado,22,Product Development,Product Manager,94623.49,2024-04-29
E0049,Katherine Dougherty,58,Marketing,Marketing Manager,106126.73,2017-09-24
E0050,Carolyn Hoffman,48,Marketing,Content Creator,55010.73,2022-10-15
E0051,Kevin Brandt,44,Legal,General Counsel,80507.62,2024-04-25
E0052,Kristi Carr,22,Information Technology (IT),Software Developer,104234.56,2018-02-04
E0053,Lauren Schmidt,24,Human Resources,Human Resources Manager,141854.22,2017-09-22
E0054,James Rojas,59,Marketing,Content Creator,136748.07,2020-12-25
E0055,Brent Taylor,27,Legal,General Counsel,134013.45,2023-03-26
E0056,Tiffany Booth,60,Product Development,Product Designer,81347.84,2019-09-28
E0057,Troy Moody,36,Human Resources,Human Resources Manager,97181.48,2014-12-16
E0058,James Norton,23,Finance,Chief Financial Officer (CFO),121740.57,2014-11-07
E0059,James Ellis,47,Legal,Corporate Lawyer,139322.27,2023-01-10
E0060,John Sparks,26,Sales,Sales Manager,120707.08,2016-12-06
E0061,Brian Vincent,24,Customer Service,Customer Service Manager,61609.74,2020-02-26
E0062,Bridget Martinez,48,Customer Service,Customer Service Representative,130283.67,2024-03-08
